,action_date,action_date_fiscal_year,award_description,award_id,award_piid_ref,award_type,award_type_code,awarding_agency_code,awarding_agency_name,awarding_office_code,awarding_office_name,awarding_sub_agency_code,awarding_sub_agency_name,contract_award_unique_key,dollars_obligated,last_modified_date,naics_code,naics_description,number_of_actions,parent_award_agency_id,parent_award_agency_name,plop_city,plop_congressional_district,plop_country_code,plop_country_name,plop_county,plop_state,plop_state_code,plop_zip,pop_end_date,pop_potential_end_date,pop_start_date,recipient_city,recipient_duns,recipient_name,recipient_zip_code,year,plop_zip_5,recipient_zip_code_5
405024,2018-09-14 00:00:00,2018,IGF::CL::IGF OHIO RIVER CONTINUOUS WATER DATA ANALYTICS SUPPORT,EPC18007,68HE0C18F0865,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0C,CINCINNATI PROC OPS DIVISION (CPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0C18F0865_6800_EPC18007_6800,2314.98,2018-09-14 14:34:20,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802154748,2019-02-28 00:00:00,2019-02-28 00:00:00,2018-09-14 00:00:00,LAKEWOOD,623278447,NEPTUNE AND COMPANY INC,802154748,2018,80215,80215
406039,2020-09-21 00:00:00,2020,GHG AND AIR QUALITY MONITORING- AIR QUALITY BPA,INL17PA00137,140L0620F0407,BPA CALL,A,14,DEPARTMENT OF THE INTERIOR (DOI),140L06,NATIONAL OPERATIONS CENTER,1422,BUREAU OF LAND MANAGEMENT,CONT_AWD_140L0620F0407_1422_INL17PA00137_1422,29408.0,2020-09-21 15:21:43,541620,ENVIRONMENTAL CONSULTING SERVICES,1,1422,BUREAU OF LAND MANAGEMENT,FLOWOOD,3.0,USA,UNITED STATES,RANKIN,MISSISSIPPI,MS,392320002,2021-09-20 00:00:00,2022-09-19 00:00:00,2020-09-21 00:00:00,ARLINGTON,71167910,S C & A INC,222015411,2020,39232,22201
406078,2018-03-06 00:00:00,2018,IGF::OT::IGF PRP SEARCH AND ENFORCEMENT SUPPORT OMEGA SUPERFUND SITE MOD 3,EPS91601,9006,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE09,REGION 9 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_9006_6800_EPS91601_6800,-46044.96,2018-03-06 17:23:55,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SAN FRANCISCO,12.0,USA,UNITED STATES,SAN FRANCISCO,CALIFORNIA,CA,941053920,2017-11-30 00:00:00,2017-11-30 00:00:00,2018-03-06 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2018,94105,80228
406795,2019-04-16 00:00:00,2019,IGF::OT::IGF ENTERPRISE WIDE IDIQ CONTRACT FOR TECHNICAL ASSISTANCE IN SUPPORT OF NRC ENVIRONMENTAL AND REACTOR PROGRAMS,NRCHQ2514E0003,NRCHQ2514T0001,DELIVERY ORDER,C,31,NUCLEAR REGULATORY COMMISSION (NRC),313100,NUCLEAR REGULATORY COMMISSION,3100,NUCLEAR REGULATORY COMMISSION,CONT_AWD_NRCHQ2514T0001_3100_NRCHQ2514E0003_3100,12000.0,2019-04-16 07:28:26,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,1,3100,NUCLEAR REGULATORY COMMISSION,VIENNA,11.0,USA,UNITED STATES,FAIRFAX,VIRGINIA,VA,221822241,2021-02-04 00:00:00,2021-02-04 00:00:00,2019-04-16 06:28:21,VIENNA,71167910,S C & A INC,221822241,2019,22182,22182
406801,2019-08-15 00:00:00,2019,"REGION 1 SOURCE WATER PROTECTION AND DRINKING WATER SPILL RESPONSE WORKSHOP/TABLETOP EXERCISE FOR GLOUCESTER, MA",68HERC19A0001,68HERC19F0251,BPA CALL,A,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERC,CINCINNATI ACQUISITION DIV (CAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HERC19F0251_6800_68HERC19A0001_6800,39998.36,2020-07-07 17:27:05,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SANDWICH,9.0,USA,UNITED STATES,BARNSTABLE,MASSACHUSETTS,MA,025635301,2020-08-14 00:00:00,2020-08-14 00:00:00,2019-08-15 00:00:00,SANDWICH,618387484,HORSLEY WITTEN GROUP INC,025635301,2019,02563,02563
407091,2018-02-05 00:00:00,2018,WATER AND POWER RESILIENCE,EPBPA13C0002,EPB18C00006,BPA CALL,A,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0C,CINCINNATI PROC OPS DIVISION (CPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_EPB18C00006_6800_EPBPA13C0002_6800,43995.7,2019-06-05 09:53:14,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SANDWICH,9.0,USA,UNITED STATES,BARNSTABLE,MASSACHUSETTS,MA,025635301,2019-02-04 00:00:00,2019-02-04 00:00:00,2018-02-05 00:00:00,SANDWICH,618387484,HORSLEY WITTEN GROUP INC,025635301,2018,02563,02563
407160,2019-05-10 00:00:00,2019,OPTION YEAR 2 IDIQ HAZ WASTE ANALYSIS IGF::OT::IGF,N6945017D4006,N6945019F2366,DELIVERY ORDER,C,97,DEPARTMENT OF DEFENSE (DOD),N69450,NAVFAC SOUTHEAST,1700,DEPT OF THE NAVY,CONT_AWD_N6945019F2366_9700_N6945017D4006_9700,97858.06,2019-05-10 14:03:47,541620,ENVIRONMENTAL CONSULTING SERVICES,1,9700,DEPT OF DEFENSE,CORPUS CHRISTI,27.0,USA,UNITED STATES,NUECES,TEXAS,TX,784195002,2020-04-10 00:00:00,2020-04-10 00:00:00,2019-04-11 00:00:00,SAN ANTONIO,79192385,SPECPRO PROFESSIONAL SERVICES LLC,782162858,2019,78419,78216
407398,2019-07-03 00:00:00,2019,SUPERFUND  ENFORCEMENT  SUPPORT SERVICES (SESS)EPA REGIONS 7-10 - SITE NAME: BONANZA MINE.,EPS91601,68HE0719F0146,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE07,REGION 7 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0719F0146_6800_EPS91601_6800,48195.03,2019-07-03 15:30:18,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SEATTLE,7.0,USA,UNITED STATES,KING,WASHINGTON,WA,981011549,2019-12-01 00:00:00,2019-12-01 00:00:00,2019-07-03 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2019,98101,80228
407406,2019-05-29 00:00:00,2019,IGF::OT::IGF PRP SEARCH AND ENFORCEMENT SUPPORT ORANGE COUNTY SUPERFUND SITE OPTION YEAR 3,EPS91601,68HE0919F0049,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE09,REGION 9 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0919F0049_6800_EPS91601_6800,407788.0,2021-01-24 21:41:59,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SAN FRANCISCO,12.0,USA,UNITED STATES,SAN FRANCISCO,CALIFORNIA,CA,941053920,2020-05-31 00:00:00,2020-05-31 00:00:00,2019-06-01 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2019,94105,80228
407573,2018-06-19 00:00:00,2018,IGF::OT::IGF - WEST VALLEY DEMONSTRATION PROJECT DEVELOPMENT OF A SUPPLEMENTAL ENVIRONMENTAL IMPACT STATEMENT SERVICES,DEEM0004837,DEEM0004837,DEFINITIVE CONTRACT,D,89,DEPARTMENT OF ENERGY (DOE),893033,EM-ENVIRONMENTAL MGMT CON BUS CTR,8900,"ENERGY, DEPARTMENT OF",CONT_AWD_DEEM0004837_8900_-NONE-_-NONE-,250000.0,2018-06-19 08:50:18,541620,ENVIRONMENTAL CONSULTING SERVICES,1,8900,DEPARTMENT OF ENERGY (DOE),VIENNA,10.0,USA,UNITED STATES,FAIRFAX,VIRGINIA,VA,221821523,2022-04-30 00:00:00,2022-04-30 00:00:00,2018-06-19 00:00:00,ARLINGTON,71167910,S C & A INC,222013324,2018,22182,22201
407743,2020-04-29 00:00:00,2020,P00005 TO CLOSEOUT,GS10F0396P,47QFWA18F0021,DELIVERY ORDER,C,47,GENERAL SERVICES ADMINISTRATION (GSA),47QFWA,GSA FAS AAS REGION 7,4732,FEDERAL ACQUISITION SERVICE,CONT_AWD_47QFWA18F0021_4732_GS10F0396P_4730,-10365.24,2020-04-29 07:55:53,541620,ENVIRONMENTAL CONSULTING SERVICES,1,4730,FEDERAL ACQUISITION SERVICE,JBSA LACKLAND,20.0,USA,UNITED STATES,BEXAR,TEXAS,TX,782369853,2019-12-07 00:00:00,2019-12-07 00:00:00,2018-05-01 00:00:00,TUCSON,148927247,STATISTICAL RESEARCH INC,857161615,2020,78236,85716
408002,2020-12-22 00:00:00,2021,INCIDENT RESPONSE & EXERCISE SUPPORT,DOCAB133C18BA0018,DOCC0001,BPA CALL,A,13,DEPARTMENT OF COMMERCE (DOC),1305M3,DEPT OF COMMERCE NOAA,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,CONT_AWD_DOCC0001_1330_DOCAB133C18BA0018_1330,290386.71,2021-01-22 17:58:43,541620,ENVIRONMENTAL CONSULTING SERVICES,1,1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,COLUMBIA,6.0,USA,UNITED STATES,RICHLAND,SOUTH CAROLINA,SC,292013137,2022-01-31 00:00:00,2023-01-31 00:00:00,2018-03-02 00:00:00,COLUMBIA,800953994,RESEARCH PLANNING INC,292013137,2020,29201,29201
408788,2018-02-28 00:00:00,2018,IGF::OT::IGF - WEST VALLEY DEMONSTRATION PROJECT DEVELOPMENT OF A SUPPLEMENTAL ENVIRONMENTAL IMPACT STATEMENT SERVICES,DEEM0004837,DEEM0004837,DEFINITIVE CONTRACT,D,89,DEPARTMENT OF ENERGY (DOE),893033,EM-ENVIRONMENTAL MGMT CON BUS CTR,8900,"ENERGY, DEPARTMENT OF",CONT_AWD_DEEM0004837_8900_-NONE-_-NONE-,750000.0,2018-02-28 16:01:17,541620,ENVIRONMENTAL CONSULTING SERVICES,1,8900,DEPARTMENT OF ENERGY (DOE),VIENNA,10.0,USA,UNITED STATES,FAIRFAX,VIRGINIA,VA,221821523,2022-04-30 00:00:00,2022-04-30 00:00:00,2018-02-28 00:00:00,ARLINGTON,71167910,S C & A INC,222013324,2018,22182,22201
410233,2019-09-18 00:00:00,2019,"ARCHAEOLOGICAL SURVEY AND TRIBAL MONITORING AT ECS AND NTTR, NEVADA",W912PP19D0011,W912PP19F0063,DELIVERY ORDER,C,97,DEPARTMENT OF DEFENSE (DOD),W912PP,W075 ENDIST ALBUQUERQUE,2100,DEPT OF THE ARMY,CONT_AWD_W912PP19F0063_9700_W912PP19D0011_9700,164816.28,2019-09-18 10:17:50,541620,ENVIRONMENTAL CONSULTING SERVICES,1,9700,DEPT OF DEFENSE,NELLIS AFB,4.0,USA,UNITED STATES,CLARK,NEVADA,NV,891910001,2020-09-18 00:00:00,2020-09-18 00:00:00,2019-09-18 00:00:00,TUCSON,148927247,STATISTICAL RESEARCH INC,857125124,2019,89191,85712
410520,2018-08-14 00:00:00,2018,IGF::OT::IGF TO CLOSE-OUT THIS AFCEC CULTURAL RESOURCES ARCHAEOLOGICAL SURVEY BPA CALL ORDER.,GS10F0396P,GSQ0716BG0076,DELIVERY ORDER,C,47,GENERAL SERVICES ADMINISTRATION (GSA),47QFWA,GSA FAS AAS REGION 7,4732,FEDERAL ACQUISITION SERVICE,CONT_AWD_GSQ0716BG0076_4732_GS10F0396P_4730,-56292.55,2018-08-14 08:57:07,541620,ENVIRONMENTAL CONSULTING SERVICES,1,4730,FEDERAL ACQUISITION SERVICE,JBSA LACKLAND,23.0,USA,UNITED STATES,BEXAR,TEXAS,TX,782369853,2018-01-31 00:00:00,2018-01-31 00:00:00,2016-11-01 00:00:00,TUCSON,148927247,STATISTICAL RESEARCH INC,857125124,2018,78236,85712
411518,2020-09-14 00:00:00,2020,MODIFICATION TO INCREASE VOLUME.,W912PP19D0011,W912PP20F0025,DELIVERY ORDER,C,97,DEPARTMENT OF DEFENSE (DOD),W912PP,W075 ENDIST ALBUQUERQUE,2100,DEPT OF THE ARMY,CONT_AWD_W912PP20F0025_9700_W912PP19D0011_9700,74779.9,2020-09-14 17:14:37,541620,ENVIRONMENTAL CONSULTING SERVICES,1,9700,DEPT OF DEFENSE,NELLIS AFB,4.0,USA,UNITED STATES,CLARK,NEVADA,NV,891910001,2021-07-28 00:00:00,2021-07-28 00:00:00,2020-07-28 00:00:00,TUCSON,148927247,STATISTICAL RESEARCH INC,857125124,2020,89191,85712
411811,2018-02-22 00:00:00,2018,WATER AND HEALTHCARE/PUBLIC HEALTH INTERDEPENDENCIES AND COMMUNITY BASED WATER RESILIENCY,EPBPA13C0002,EPB18C00011,BPA CALL,A,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0C,CINCINNATI PROC OPS DIVISION (CPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_EPB18C00011_6800_EPBPA13C0002_6800,14975.04,2019-06-05 09:36:39,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SANDWICH,9.0,USA,UNITED STATES,BARNSTABLE,MASSACHUSETTS,MA,025635301,2019-02-21 00:00:00,2019-02-21 00:00:00,2018-02-22 00:00:00,SANDWICH,618387484,HORSLEY WITTEN GROUP INC,025635301,2018,02563,02563
411937,2020-07-23 00:00:00,2020,RESTORE ACT BEST AVAILABLE SCIENCE REVIEWS,TOS15D0007,0003,DELIVERY ORDER,C,20,DEPARTMENT OF THE TREASURY (TREAS),2032H3,NATIONAL OFFICE - DO OTPS/TOPS,2001,DEPARTMENTAL OFFICES,CONT_AWD_0003_2001_TOS15D0007_2001,-1181994.95,2020-07-23 16:29:17,541620,ENVIRONMENTAL CONSULTING SERVICES,1,2001,DEPARTMENTAL OFFICES,COLUMBIA,6.0,USA,UNITED STATES,RICHLAND,SOUTH CAROLINA,SC,292013137,2018-09-28 00:00:00,2020-08-22 00:00:00,2017-09-29 00:00:00,COLUMBIA,800953994,RESEARCH PLANNING INC,292013137,2020,29201,29201
412398,2019-07-12 00:00:00,2019,TECHNICAL SUPPORT IN ADMINISTRATION AND MANAGEMENT OF THE EPA AGENCY-WIDE QUALITY SYSTEM,EPC18007,68HE0C18F0905,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0C,CINCINNATI PROC OPS DIVISION (CPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0C18F0905_6800_EPC18007_6800,-19944.6,2019-07-15 07:54:53,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802154748,2019-07-12 00:00:00,2019-07-12 00:00:00,2019-07-12 00:00:00,LAKEWOOD,623278447,NEPTUNE AND COMPANY INC,802154748,2019,80215,80215
412684,2020-08-13 00:00:00,2020,INCREMENTAL FUNDING ACTION,68HERH19D0020,68HE0520F0037,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE05,REGION 5 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0520F0037_6800_68HERH19D0020_6800,13122.0,2020-08-17 11:44:16,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,ARLINGTON,8.0,USA,UNITED STATES,ARLINGTON,VIRGINIA,VA,222013397,2023-12-05 00:00:00,2023-12-05 00:00:00,2020-02-18 00:00:00,ARLINGTON,71167910,S C & A INC,222013324,2020,22201,22201
413184,2019-09-28 00:00:00,2019,"GENERAL ENVIRONMENTAL COMPLIANCE SUPPORT, FORT POLK, LA",W9126G19C0143,W9126G19C0143,DEFINITIVE CONTRACT,D,97,DEPARTMENT OF DEFENSE (DOD),W9126G,US ARMY ENGINEER DISTRICT FT WORTH,2100,DEPT OF THE ARMY,CONT_AWD_W9126G19C0143_9700_-NONE-_-NONE-,2565992.24,2020-10-03 09:58:29,541620,ENVIRONMENTAL CONSULTING SERVICES,1,2100,DEPARTMENT OF DEFENSE (DOD),FORT POLK,4.0,USA,UNITED STATES,VERNON,LOUISIANA,LA,714593106,2021-09-24 00:00:00,2021-09-24 00:00:00,2019-09-28 00:00:00,MANY,54055734,ARTEMIS ADVANTAGE LLC,714497917,2019,71459,71449
414242,2018-03-28 00:00:00,2018,WATER/WASTEWATER AGENCY RESPONSE NETWORK (WARN) AND DROUGHT SUPPORT SERVICES,EPBPA13C0002,EPB18C00014,BPA CALL,A,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0C,CINCINNATI PROC OPS DIVISION (CPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_EPB18C00014_6800_EPBPA13C0002_6800,114173.8,2019-06-07 12:53:26,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SANDWICH,9.0,USA,UNITED STATES,BARNSTABLE,MASSACHUSETTS,MA,025635301,2019-03-27 00:00:00,2019-03-27 00:00:00,2018-03-28 00:00:00,SANDWICH,618387484,HORSLEY WITTEN GROUP INC,025635301,2018,02563,02563
415320,2020-08-27 00:00:00,2020,"SITE DESCRIPTION REVISION AND PERIOD OF PERFORMANCE EXTENSION FOR CORRECTIVE ACTION SUPPORT AT DPH ENVIRONMENTAL RESPONSE TRUST FLINT, MI",68HERH19D0021,68HE0520F0049,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE05,REGION 5 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0520F0049_6800_68HERH19D0021_6800,8764.65,2020-08-27 10:55:33,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802281513,2020-11-30 00:00:00,2020-11-30 00:00:00,2020-04-03 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2020,80228,80228
415585,2020-07-09 00:00:00,2020,NR-ARD - GPMP - OPT TASK 16 - NCORE GRSM,INP16PC00320,140P2120F0100,DELIVERY ORDER,C,14,DEPARTMENT OF THE INTERIOR (DOI),140P21,WASHINGTON CONTRACTING OFFICE,1443,NATIONAL PARK SERVICE,CONT_AWD_140P2120F0100_1443_INP16PC00320_1443,63792.0,2020-09-02 10:15:06,541620,ENVIRONMENTAL CONSULTING SERVICES,1,1443,NATIONAL PARK SERVICE,MARYVILLE,2.0,USA,UNITED STATES,BLOUNT,TENNESSEE,TN,378032126,2021-07-31 00:00:00,2021-07-31 00:00:00,2020-08-01 00:00:00,FORT COLLINS,102550670,AIR RESOURCE SPECIALISTS INC,805254429,2020,37803,80525
415854,2018-05-29 00:00:00,2018,IGF::CL::IGF EARTHQUAKE RESILIENCE FOR WATER/WASTEWATER UTILITIES,EPBPA13C0002,EPB16C00019,BPA CALL,A,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0C,CINCINNATI PROC OPS DIVISION (CPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_EPB16C00019_6800_EPBPA13C0002_6800,-0.03,2018-05-29 13:19:01,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,SANDWICH,9.0,USA,UNITED STATES,BARNSTABLE,MASSACHUSETTS,MA,025635301,2017-03-31 00:00:00,2017-03-31 00:00:00,2018-05-29 00:00:00,SANDWICH,618387484,HORSLEY WITTEN GROUP INC,025635301,2018,02563,02563
416506,2019-07-29 00:00:00,2019,"CORRECTIVE ACTION SUPPORT FOR FORMER DUPONT EAST CHICAGO FACILITY, EAST CHICAGO, INDIANA, AND 5 ADDITIONAL FACILITIES (5601)",68HERH19D0021,68HE0519F0038,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE05,REGION 5 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0519F0038_6800_68HERH19D0021_6800,60000.0,2019-07-29 17:38:32,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,7.0,USA,UNITED STATES,COOK,ILLINOIS,IL,606060016,2023-12-05 00:00:00,2023-12-05 00:00:00,2019-07-29 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2019,60606,80228
417248,2019-04-25 00:00:00,2019,"ABBREVIATED PRP SEARCHES SILVER BOW CREEK/BUTTE SITE  WEST OF MONTANA TECH, SILVER BOW COUNTY, MONTANA SSID 0822, OU #13 WESTSIDE SOILS",EPS91601,68HE0819F0033,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE08,REGION 8 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0819F0033_6800_EPS91601_6800,53886.0,2020-06-15 16:40:08,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,DENVER,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802280005,2020-09-30 00:00:00,2020-09-30 00:00:00,2019-04-25 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2019,80228,80228
417794,2020-06-15 00:00:00,2020,"TITLE SEARCH/PRP SEARCH/LIEN FILING AND RELEASING /ABILITY-TO-PAY ANALYSES/NEGOTIATION AND LITIGATION SUPPORT  RICHARDSON FLAT SUPERFUND SITE SALT LAKE CITY, SALT LAKE COUNTY, UTAH SSID # 94",EPS91601,8005,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE08,REGION 8 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_8005_6800_EPS91601_6800,-33146.08,2020-06-15 17:41:42,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802281552,2020-06-12 00:00:00,2020-06-12 00:00:00,2016-12-02 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2020,80228,80228
418650,2019-09-24 00:00:00,2019,EMIT TSD DEVELOPMENT 2019,INL17PA00137,140L0619F0364,BPA CALL,A,14,DEPARTMENT OF THE INTERIOR (DOI),140L06,NATIONAL OPERATIONS CENTER,1422,BUREAU OF LAND MANAGEMENT,CONT_AWD_140L0619F0364_1422_INL17PA00137_1422,55438.0,2020-07-28 15:45:53,541620,ENVIRONMENTAL CONSULTING SERVICES,1,1422,BUREAU OF LAND MANAGEMENT,ARLINGTON,8.0,USA,UNITED STATES,ARLINGTON,VIRGINIA,VA,222012263,2021-09-23 00:00:00,2021-09-23 00:00:00,2019-09-24 00:00:00,ARLINGTON,71167910,S C & A INC,222015411,2019,22201,22201
418788,2018-09-19 00:00:00,2018,(SBSA) ANALYTICAL SUPPORT SERVICES FOR AIR&RADIATION PROGRAMS IGF::CL::IGF OTHER FUNCTIONS,EPD14033,EPD14033,DEFINITIVE CONTRACT,D,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE0D,RTP PROC OPS DIVISION (RTPPOD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_EPD14033_6800_-NONE-_-NONE-,20000.0,2018-09-21 14:09:27,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY (EPA),ARLINGTON,8.0,USA,UNITED STATES,ARLINGTON,VIRGINIA,VA,222013324,2019-09-30 00:00:00,2019-09-30 00:00:00,2018-09-19 00:00:00,ARLINGTON,71167910,S C & A INC,222013324,2018,22201,22201
419333,2020-12-02 00:00:00,2021,NEW TASK ORDER FOR SUPERFUND  ENFORCEMENT  SUPPORT SERVICES (SESS) EPA REGIONS 7-10 SITE NAME: CHEROKEE COUNTY/ORONOGO DUENWEG.,EPS91601,68HE0721F0016,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HE07,REGION 7 CONTRACTING OFFICE,6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HE0721F0016_6800_EPS91601_6800,71010.45,2021-03-01 15:56:08,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,BREMERTON,6.0,USA,UNITED STATES,KITSAP,WASHINGTON,WA,983101302,2021-05-31 00:00:00,2021-05-31 00:00:00,2020-12-02 00:00:00,LAKEWOOD,825211824,TOEROEK ASSOCIATES INC,802281552,2020,98310,80228
419894,2018-04-23 00:00:00,2018,NR-ARD-OPT TASK 3-NEW SITE INSTALL JOTR,INP16PC00320,140P2118F0112,DELIVERY ORDER,C,14,DEPARTMENT OF THE INTERIOR (DOI),140P21,WASHINGTON CONTRACTING OFFICE,1443,NATIONAL PARK SERVICE,CONT_AWD_140P2118F0112_1443_INP16PC00320_1443,5958.0,2018-04-23 08:25:48,541620,ENVIRONMENTAL CONSULTING SERVICES,1,1443,NATIONAL PARK SERVICE,TWENTYNINE PALMS,8.0,USA,UNITED STATES,SAN BERNARDINO,CALIFORNIA,CA,922773597,2018-07-31 00:00:00,2018-07-31 00:00:00,2018-04-23 00:00:00,FORT COLLINS,102550670,AIR RESOURCE SPECIALISTS INC,805254429,2018,92277,80525
420130,2020-02-04 00:00:00,2020,TECHNICAL DOCUMENT REVIEW AND COMMENT OF THE EPAS DRAFT ENVIRONMENTAL INFORMATION QUALITY POLICY AND PROCEDURE,EPC18007,68HERH20F0148,DELIVERY ORDER,C,68,ENVIRONMENTAL PROTECTION AGENCY (EPA),68HERH,HEADQUARTERS ACQUISITION DIV (HQAD),6800,ENVIRONMENTAL PROTECTION AGENCY,CONT_AWD_68HERH20F0148_6800_EPC18007_6800,9241.09,2020-03-27 08:20:59,541620,ENVIRONMENTAL CONSULTING SERVICES,1,6800,ENVIRONMENTAL PROTECTION AGENCY,LAKEWOOD,7.0,USA,UNITED STATES,JEFFERSON,COLORADO,CO,802154748,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-02-05 00:00:00,LAKEWOOD,623278447,NEPTUNE AND COMPANY INC,802154748,2020,80215,80215
